shortname,question_title,type,page,place
doc_solution,Please specify which professional help authoring solution do you use?,CHECKBOX,45,3
doc_consider,Have you considered using a professional tool for technical writing?,RADIO,45,6
game_is_hobby,Do you develop games professionally or as a hobby?,RADIO,43,1
game_engines,Which game engines do you use?,CHECKBOX,43,2
game_platforms,Which platforms do you target in your game development?,CHECKBOX,43,3
game_distribute,Where do you distribute your games?,CHECKBOX,43,4
game_genre,What genres of games do you develop?,CHECKBOX,43,5
game_kind,What kind of game development do you do?,CHECKBOX,43,6
game_lang,Which of the following programming languages have you used for your game projects in the last 12 months?,CHECKBOX,43,7
game_vcs_assets,In which version control systems do you store the game files (assets)?,CHECKBOX,43,8
edu_level,Which of the following best describes the highest level of formal education that you’ve completed?,RADIO,4,3
tools_personal,Which of the following tools do you use for <strong>your personal use</strong> for...,TABLE,17,3
tools_personal_jira,Jira,CHECKBOX,17,1
tools_personal_confluence,Confluence,CHECKBOX,17,2
tools_personal_github_issues,GitHub Issues,CHECKBOX,17,3
tools_personal_trello,Trello,CHECKBOX,17,4
tools_personal_gitlab_issues,GitLab Issues,CHECKBOX,17,5
tools_personal_redmine,Redmine,CHECKBOX,17,6
tools_personal_youtrack,YouTrack,CHECKBOX,17,7
tools_personal_asana,Asana,CHECKBOX,17,8
tools_personal_azure_devops,Azure DevOps,CHECKBOX,17,9
tools_personal_microsoft_teams,Microsoft Teams,CHECKBOX,17,10
tools_personal_microsoft_project,Microsoft Project,CHECKBOX,17,11
tools_personal_notion,Notion,CHECKBOX,17,12
tools_personal_basecamp,Basecamp,CHECKBOX,17,13
tools_personal_monday,Monday.com,CHECKBOX,17,14
tools_personal_miro,Miro,CHECKBOX,17,15
tools_personal_wrike,Wrike,CHECKBOX,17,16
tools_personal_custom_tool,Custom tool,CHECKBOX,17,17
gender,Gender:,RADIO,4,6
rust_ide_setup,Which IDE setup(s) do you use?,CHECKBOX,31,6
"",Which of the following educational institutions / resources allowed you to take the first big step towards becoming a developer?,CHECKBOX,54,1
learn_quit_before,Have you ever quit learning courses / programs before finishing?,RADIO,54,7
learn_why_stop,Why did you stop learning?  ,CHECKBOX,54,8
edu_teach_type,At what type of educational institution do you teach?,RADIO,56,1
edu_teach_level,For what level of education do you teach?,RADIO,56,2
edu_teach_subject,"What subject do you teach?
<div id=""gtx-trans"" style=""position: absolute; left: -131px; top: -20px;"">
<div class=""gtx-trans-icon""> </div>
</div>",RADIO,56,3
edu_teach_lang,What programming languages have you taught?,CHECKBOX,56,4
edu_teach_tools,"Which of the following tools do you recommend to students, if any?",CHECKBOX,56,5
teaching_what,What is teaching for you?,RADIO,4,1
ide_main,Which IDE / editor do you use the most?,RADIO,16,1
ide_long,How long have you been using your main IDE?,RADIO,16,3
testing_how,How do you perform testing for your product?,CHECKBOX,44,2
testing_bdd,"Which BDD (Behavior Driven Development) technologies do you use, if any?",CHECKBOX,44,15
testing_ai,Do you use AI/ML in the testing of your product?,CHECKBOX,44,16
testing_metrics,Which test coverage metrics do you use for unit testing?,CHECKBOX,44,6
use_wsl,Do you use Windows Subsystem for Linux (WSL) for local development?,CHECKBOX,13,5
born_here,"Were you born in [question('value'), id='949']?
<div id=""gtx-trans"" style=""position: absolute; left: 175px; top: 25px;"">
<div class=""gtx-trans-icon""> </div>
</div>",RADIO,61,5
born_country,"In which country were you born?
<div id=""gtx-trans"" style=""position: absolute; left: -9px; top: 25px;"">
<div class=""gtx-trans-icon""> </div>
</div>",MENU,61,6
fun_dream_engineer,Did you dream of becoming a software engineer when you were a child?,RADIO,14,4
fun_videogames,Do you play video games?,RADIO,7,3
fun_platforms,"What platforms do you play games on?
<div id=""gtx-trans"" style=""position: absolute; left: -5px; top: -20px;"">
<div class=""gtx-trans-icon""> </div>
</div>",CHECKBOX,7,4
fun_consoles,"What console do you use?
<div id=""gtx-trans"" style=""position: absolute; left: 128px; top: 25px;"">
<div class=""gtx-trans-icon""> </div>
</div>",CHECKBOX,7,5
cloud_services_most,Which cloud service do you use the most? ,RADIO,48,4
fun_headphones,Which headphones do you mainly use?,RADIO,16,4
kotlin_sw_developed,What types of software do you develop with Kotlin?,CHECKBOX,24,10
you_are,"Taking all things together, would you say you are:",RADIO,67,2
life_satisfied,"All things considered, how satisfied are you with your life as a whole these days?",RADIO,67,3
job_satisfied,How satisfied are you in your (main) job?,RADIO,67,4
government_video,Keep people under video surveillance in public areas,RADIO,67,1
government_monitor_all,Monitor all e-mails and any other information exchanged on the Internet,RADIO,67,2
government_collect,Collect information about anyone living in country without their knowledge,RADIO,67,3
person1_ideas,Thinking up new ideas and being creative is important to this person; to do things in their own original way.,RADIO,68,1
person1_rich,It is important to this person to be rich; to have a lot of money and expensive things.,RADIO,68,2
person1_equal,This person thinks it is important that every person in the world should be treated equally. This person believes everyone should have equal opportunities in life.,RADIO,68,3
person1_admire,It's important to this person to show their abilities. This person wants people to admire what they do.,RADIO,68,4
person1_secure,It is important to this person to live in secure surroundings. This person avoids anything that might endanger their safety.,RADIO,68,5
person1_surprise,This person likes surprises and is always looking for new things to do. This person thinks it is important to do lots of different things in life.,RADIO,68,6
person1_rules,"This person believes that people should do what they're told. They think people should follow rules at all times, even when no-one is watching.",RADIO,68,7
person1_different,"It is important to this person to listen to people who are different from them. Even when this person disagrees with them, they still want to understand them.",RADIO,68,8
person1_humble,It is important to this person to be humble and modest. They try not to draw attention to themselves.,RADIO,68,9
person1_goodtime,Having a good time is important to this person. They like to 'spoil' themselves.,RADIO,68,10
person1_decision,It is important to this person to make their own decisions about what this person does. They like to be free and not depend on others.,RADIO,68,11
choose_research,"When choosing a new development tool, how do you discover and research available solutions?",CHECKBOX,58,10
company_decisions,How does your company make decisions about purchasing development tools?,RADIO,58,11
writing_assist,"Do you use any of the writing assistance tools, e.g. to proofread grammar?",CHECKBOX,51,5
language_work,What language do you use at work?,CHECKBOX,4,7
language_is_same,Do you speak at home or with friends in the same language as you use at work?,RADIO,4,8
languages_family,What languages do you use with family and friends?,CHECKBOX,4,9
comp_cores,How many physical CPU cores do you have on the computer you use most often?,RADIO,50,4
comp_gpu,What type of GPU do you have on the computer you use most often?,CHECKBOX,50,6
comp_mon,How many monitors do you use for your work?,RADIO,50,8
comp_display_scaling,What display scaling do you have on the computer you use most often?,RADIO,50,9
pay_most_often,How do you pay most often? Please choose up to 3 options. ,CHECKBOX,51,6
fun_lunch,Where do you usually take lunch during your working days?,RADIO,10,3
lifestyle_search,"When you search for information related to your job, how do you usually do it? ",CHECKBOX,63,3
person2_help,It's very important to this person to help the people around them. They want to care for their well-being.,RADIO,68,1
person2_success,Being very successful is important to this person. They hope people will recognise their achievements.,RADIO,68,2
person2_government_safety,It is important to this person that the government ensures their safety against all threats. They want the state to be strong so it can defend its citizens.,RADIO,68,3
person2_adventures,This person looks for adventures and likes to take risks. They want to have an exciting life.,RADIO,68,4
person2_properly,It is important to this person always to behave properly. They want to avoid doing anything people would say is wrong.,RADIO,68,5
person2_respect,It is important to this person to get respect from others. They want people to do what this person says.,RADIO,68,6
person2_friends,It is important to this person to be loyal to friends. They want to devote themselves to people close to them.,RADIO,68,7
person2_nature,This person strongly believes that people should care for nature. Looking after the environment is important to them.,RADIO,68,8
person2_tradition,Tradition is important to this person. They try to follow the customs handed down by their religion or their family.,RADIO,68,9
person2_fun,This person seeks every chance to have fun. It is important to them to do things that give them pleasure.,RADIO,68,10
run_backing_where,"During development, where do you run your backing services? Backing services are third-party applications your code connects to, e.g. a database, a queue broker, or a mail server.",CHECKBOX,13,7
comp_old,How old is the computer you use most often?,RADIO,50,3
run_code_where,"During development, where do you run and debug your code?",CHECKBOX,13,6
devops_backing_count,"How many separately-running backing services (those you don’t develop, like MySQL, Redis, CloudFront) does your application have?",RADIO,49,4
devops_comp_count,"How many separately-running components does your application have, excluding backing services?<br />
These are components you develop or are developed by others at your company.",RADIO,49,5
job_important,Here are some aspects of a job that people say are important. Please look at them and select ones you personally think are important in a job.,CHECKBOX,67,5
ci_none,None,CHECKBOX,17,17
tools_company_none,None,CHECKBOX,17,18
tools_personal_none,None,CHECKBOX,17,18
work_in_office,In the office,CHECKBOX,5,1
work_from_home,From home,CHECKBOX,5,2
work_coworking,Coworking,CHECKBOX,5,3
work_from_cafe,Cafe,CHECKBOX,5,4
fun_snack,Do you like to snack while coding?,RADIO,13,10
fun_drink,What do you prefer to drink while coding?,CHECKBOX,13,11
events_conf,Conferences,CHECKBOX,65,1
events_usergroups,User groups,CHECKBOX,65,2
events_meetups,Meetups,CHECKBOX,65,3
events_workshops,Workshops,CHECKBOX,65,4
js_sw_types_developed,What types of software do you develop with JavaScript? ,CHECKBOX,30,7
cloud_services_familiar3,"How familiar are you with [question(""value""), id=""1105""]?",RADIO,49,3
is_employed,Is employed? (generated),Fiction,,
primary,What are your primary programming languages? (generated),Fiction,,
source,source (generated),Fiction,,
know_jb_fixed,know_jb fixed,Fiction,,
region,Region or country,Fiction,,
